City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sri Aman,MY,2022-07-17 15:02:38,1.2376,111.4621,75.67,82,96,2.42
59,Sandnessjoen,NO,2022-07-17 15:02:39,66.0217,12.6316,55.92,87,75,11.5
60,Qaanaaq,GL,2022-07-17 15:02:39,77.484,-69.3632,46.11,56,54,5.59
61,Okhotsk,RU,2022-07-17 15:02:39,59.3833,143.3,54.77,95,13,4.09
62,Albany,US,2022-07-17 15:02:40,42.6001,-73.9662,83.62,60,43,1.01
63,Qujing,CN,2022-07-17 15:00:28,25.4833,103.7833,66.87,85,100,5.19
64,Port-Gentil,GA,2022-07-17 15:02:40,-0.7193,8.7815,82.36,65,40,12.66
65,Salalah,OM,2022-07-17 15:00:40,17.0151,54.0924,77.2,93,100,6.67
66,Podporozhye,RU,2022-07-17 15:02:41,60.9112,34.1706,66.47,44,83,6.67
67,Samarai,PG,2022-07-17 15:02:41,-10.6167,150.6667,78.91,84,50,10.02
68,Saint-Philippe,RE,2022-07-17 15:02:42,-21.3585,55.7679,69.39,77,99,17.05
69,Codrington,AU,2022-07-17 15:02:42,-38.2667,141.9667,47.77,69,92,17.72
70,Adrar,MR,2022-07-17 15:02:42,20.5022,-10.0711,112.32,6,12,12.97
71,Rawson,AR,2022-07-17 15:02:43,-43.3002,-65.1023,47.14,48,100,18.54
72,Busselton,AU,2022-07-17 15:02:43,-33.65,115.3333,53.19,92,100,14.72
73,Longyearbyen,SJ,2022-07-17 15:02:43,78.2186,15.6401,49.84,76,75,5.75
74,Sinnamary,GF,2022-07-17 15:02:44,5.3833,-52.95,81.25,77,77,3.98
75,College,US,2022-07-17 15:02:44,64.8569,-147.8028,57.15,77,100,4.61
76,Saskylakh,RU,2022-07-17 15:02:45,71.9167,114.0833,51.67,61,81,8.03
77,Saint-Pierre,RE,2022-07-17 15:02:45,-21.3393,55.4781,70.92,68,0,23.02
78,Qasigiannguit,GL,2022-07-17 15:02:45,68.8193,-51.1922,53.85,62,30,2.95
79,Nome,US,2022-07-17 15:02:46,64.5011,-165.4064,42.87,81,0,5.75
80,Svetlogorsk,BY,2022-07-17 15:02:46,52.6333,29.7333,61.72,78,77,7.63
81,Dhidhdhoo,MV,2022-07-17 15:02:47,6.8833,73.1,82.08,81,43,15.99
82,Chapais,CA,2022-07-17 15:02:47,49.7834,-74.8492,73.15,49,57,8.59
83,Quatre Cocos,MU,2022-07-17 15:02:47,-20.2078,57.7625,69.1,75,36,21.83
84,Chauk,MM,2022-07-17 15:02:48,20.8833,94.8167,87.89,62,85,15.35
85,Zelenoborsk,RU,2022-07-17 15:02:48,61.4669,64.0333,71.4,46,100,3.22
86,Mahajanga,MG,2022-07-17 15:02:49,-15.7167,46.3167,80.98,49,61,11.9
87,Tuktoyaktuk,CA,2022-07-17 15:02:49,69.4541,-133.0374,49.15,96,100,7.45
88,Torbay,CA,2022-07-17 15:00:23,47.6666,-52.7314,74.88,59,64,5.01
89,Jamestown,US,2022-07-17 14:58:51,42.097,-79.2353,78.03,74,75,9.22
90,Ust-Maya,RU,2022-07-17 15:03:50,60.4167,134.5333,68.9,65,0,2.53
91,Lorengau,PG,2022-07-17 15:03:51,-2.0226,147.2712,80.8,82,94,9.6
92,Ingham,US,2022-07-17 15:03:51,42.6,-84.3833,76.23,79,75,6.91
93,Aklavik,CA,2022-07-17 15:03:51,68.2191,-135.0107,58.89,68,26,4.14
94,Sola,VU,2022-07-17 15:03:52,-13.8833,167.55,80.17,77,82,24.96
95,Kaitangata,NZ,2022-07-17 15:03:52,-46.2817,169.8464,43.23,87,98,4.76
96,Waspan,NI,2022-07-17 15:03:53,14.7419,-83.9717,81.12,80,30,5.99
97,Pevek,RU,2022-07-17 15:03:53,69.7008,170.3133,30.87,92,100,32.21
98,Buguda,IN,2022-07-17 15:03:54,19.8167,84.8,78.84,92,39,4.07
99,Tasiilaq,GL,2022-07-17 15:03:54,65.6145,-37.6368,51.96,77,90,5.59
100,Lufilufi,WS,2022-07-17 15:03:54,-13.8745,-171.5986,80.35,77,52,23.94
101,Saldanha,ZA,2022-07-17 15:03:55,-33.0117,17.9442,61.12,81,0,10.02
102,Malino,PH,2022-07-17 15:03:55,15.1257,120.6727,78.04,91,100,3.91
103,Isiro,CD,2022-07-17 15:03:55,2.7739,27.616,83.44,56,44,2.13
104,Juneau,US,2022-07-17 15:03:06,58.3019,-134.4197,55.22,97,100,14.97
105,Eyl,SO,2022-07-17 15:02:20,7.9803,49.8164,87.1,48,80,29.24
106,Leh,IN,2022-07-17 15:03:56,34.1667,77.5833,67.87,39,92,5.44
107,Georgetown,MY,2022-07-17 14:59:54,5.4112,100.3354,85.95,85,20,2.3
108,Ceuta,ES,2022-07-17 15:03:57,35.8903,-5.3075,80.64,75,14,12.57
109,Dunda,TZ,2022-07-17 15:03:57,-8.1167,34.25,73.08,38,33,14.16
110,Nazas,MX,2022-07-17 15:03:58,25.2333,-104.1333,78.48,36,31,5.32
111,Alofi,NU,2022-07-17 15:03:58,-19.0595,-169.9187,77.72,72,29,19.13
112,Bodden Town,KY,2022-07-17 15:03:58,19.2833,-81.25,81.0,78,75,11.5
113,Whitehorse,CA,2022-07-17 15:03:59,60.7161,-135.0538,50.77,76,100,17.27
114,Mandalgovi,MN,2022-07-17 15:03:59,45.7625,106.2708,71.2,28,86,8.39
115,Kuusamo,FI,2022-07-17 15:04:00,65.9667,29.1833,64.44,63,24,12.66
116,Smithers,CA,2022-07-17 15:00:03,54.7804,-127.1743,55.54,73,9,1.99
117,Kodiak,US,2022-07-17 15:04:00,57.79,-152.4072,58.51,67,100,9.22
118,Arraial Do Cabo,BR,2022-07-17 15:04:01,-22.9661,-42.0278,84.06,54,0,8.05
119,Puerto Del Rosario,ES,2022-07-17 15:04:01,28.5004,-13.8627,76.75,73,0,19.57
120,Bhagalpur,IN,2022-07-17 15:04:02,25.25,87.0,90.9,57,48,14.83
121,Stephenville,US,2022-07-17 15:04:02,32.2207,-98.2023,89.73,45,0,8.05
122,Caravelas,BR,2022-07-17 15:04:03,-17.7125,-39.2481,80.38,53,1,8.28
123,Korla,CN,2022-07-17 15:00:30,41.7597,86.1469,82.02,24,16,8.79
124,Puerto Ayora,EC,2022-07-17 15:04:03,-0.7393,-90.3518,75.16,89,63,8.01
125,Mount Gambier,AU,2022-07-17 15:04:04,-37.8333,140.7667,46.24,76,96,10.11
126,Cidreira,BR,2022-07-17 15:04:04,-30.1811,-50.2056,56.26,64,2,16.75
127,Umea,SE,2022-07-17 15:04:05,63.8284,20.2597,59.92,63,0,9.22
128,Sarangani,PH,2022-07-17 15:04:05,5.4033,125.4636,83.08,76,82,13.24
129,Anadyr,RU,2022-07-17 15:04:06,64.75,177.4833,49.23,68,40,28.32
130,New Norfolk,AU,2022-07-17 15:04:06,-42.7826,147.0587,38.7,78,89,1.01
131,Ginir,ET,2022-07-17 15:04:07,7.1333,40.7,65.98,64,47,10.42
132,Tianpeng,CN,2022-07-17 15:05:07,30.9866,103.9393,75.29,80,100,1.83
133,Imeni Poliny Osipenko,RU,2022-07-17 15:05:08,52.4201,136.4853,59.29,93,58,6.78
134,Castro,BR,2022-07-17 15:05:08,-24.7911,-50.0119,65.82,68,100,3.11
135,Araouane,ML,2022-07-17 15:05:09,18.9048,-3.5265,105.1,22,66,10.89
136,Nijar,ES,2022-07-17 15:05:09,36.9665,-2.206,83.66,58,0,12.66
137,Hithadhoo,MV,2022-07-17 15:05:09,-0.6,73.0833,78.37,87,100,24.2
