City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Alpoyeca,MX,17.6667,-98.5167,73.47,79,48,5.19,scattered clouds
69,Auki,SB,-8.7676,160.7034,86.97,61,62,3.42,broken clouds
70,Berlevag,NO,70.8578,29.0864,57.0,94,100,11.5,overcast clouds
71,Tlapacoyan,MX,19.9667,-97.2167,75.27,86,26,2.68,scattered clouds
72,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,27,11.07,scattered clouds
73,East London,ZA,-33.0153,27.9116,57.18,78,0,8.32,clear sky
74,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,19.57,few clouds
75,Nikolskoye,RU,59.7035,30.7861,63.88,94,3,3.96,clear sky
76,Novyy Urengoy,RU,66.0833,76.6333,44.4,84,100,6.44,overcast clouds
77,Meulaboh,ID,4.1363,96.1285,82.29,69,61,3.4,broken clouds
78,Merauke,ID,-8.4667,140.3333,79.5,73,53,10.56,broken clouds
79,Lufilufi,WS,-13.8745,-171.5986,89.38,73,11,14.72,few clouds
80,Vila Velha,BR,-20.3297,-40.2925,69.75,93,75,2.3,broken clouds
81,Novopetrovskoye,RU,55.9928,36.4719,52.32,94,3,7.43,clear sky
82,Olafsvik,IS,64.8945,-23.7142,52.03,88,100,5.35,overcast clouds
83,Port Hardy,CA,50.6996,-127.4199,60.98,72,20,10.36,few clouds
84,Ranong,TH,9.9658,98.6348,78.73,80,100,3.29,light rain
85,Gwadar,PK,25.1216,62.3254,82.98,82,100,8.39,overcast clouds
86,Vila,PT,42.0304,-8.1588,58.69,84,93,5.3,overcast clouds
87,Ormara,PK,25.2088,64.6357,83.35,84,100,8.81,overcast clouds
88,Zhirnovsk,RU,50.9845,44.7735,59.43,74,100,5.35,overcast clouds
89,Salina,US,38.8403,-97.6114,89.94,52,0,1.01,clear sky
90,Dauphin,CA,51.1494,-100.0502,75.34,50,0,14.97,clear sky
91,Yulara,AU,-25.2406,130.9889,66.58,23,0,6.38,clear sky
92,Bluff,NZ,-46.6,168.3333,43.81,71,99,7.72,overcast clouds
93,Rabaul,PG,-4.1967,152.1721,82.02,72,100,4.36,overcast clouds
94,Chapais,CA,49.7834,-74.8492,64.18,96,100,11.92,overcast clouds
95,Yeppoon,AU,-23.1333,150.7333,69.58,68,18,15.26,few clouds
96,Ostrovnoy,RU,68.0531,39.5131,59.83,84,61,6.67,broken clouds
97,Geraldton,AU,-28.7667,114.6,59.41,82,100,9.22,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,70.83,84,3,15.01,clear sky
99,Victoria,HK,22.2855,114.1577,91.26,75,0,4.0,clear sky
100,Port-Gentil,GA,-0.7193,8.7815,73.87,86,79,14.47,broken clouds
101,Hengyang,CN,26.8881,112.615,90.05,63,24,5.75,few clouds
102,Lebu,CL,-37.6167,-73.65,51.96,91,100,14.09,moderate rain
103,Calama,CL,-22.4667,-68.9333,46.89,18,92,11.5,overcast clouds
104,Esperance,AU,-33.8667,121.9,57.67,76,38,19.53,scattered clouds
105,Asfi,MA,32.2994,-9.2372,73.89,81,32,18.25,scattered clouds
106,Dzhebariki-Khaya,RU,62.2167,135.8,83.88,39,100,8.34,overcast clouds
107,Xining,CN,36.6167,101.7667,56.84,65,0,2.35,clear sky
108,Auray,FR,47.6703,-2.9918,62.74,87,100,8.01,overcast clouds
109,Tura,IN,25.5198,90.2201,80.2,89,99,2.04,moderate rain
110,Enugu,NG,6.4402,7.4943,70.56,97,100,5.08,overcast clouds
111,Northam,GB,51.0333,-4.2167,60.39,91,100,6.53,overcast clouds
112,Kingsport,US,36.5484,-82.5618,77.54,89,82,3.31,broken clouds
113,Darhan,MN,49.4867,105.9228,56.98,90,100,3.44,moderate rain
114,Nome,US,64.5011,-165.4064,48.16,90,99,17.81,overcast clouds
115,Cape Town,ZA,-33.9258,18.4232,57.38,84,0,2.3,clear sky
116,Gat,IL,31.61,34.7642,76.41,100,0,0.67,clear sky
117,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,12.66,scattered clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,82,75,9.22,broken clouds
119,Mankera,PK,31.3866,71.4407,84.0,72,100,12.24,heavy intensity rain
120,Atar,MR,20.5169,-13.0499,89.82,38,4,4.94,clear sky
121,Saskylakh,RU,71.9167,114.0833,54.36,60,100,7.72,overcast clouds
122,Port Alfred,ZA,-33.5906,26.891,56.59,81,3,9.4,clear sky
123,Sinnamary,GF,5.3833,-52.95,77.07,89,70,7.72,broken clouds
124,Chokurdakh,RU,70.6333,147.9167,59.85,27,77,6.17,broken clouds
125,Tuatapere,NZ,-46.1333,167.6833,44.22,92,100,3.13,overcast clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,50.09,70,0,5.75,clear sky
127,Khatanga,RU,71.9667,102.5,59.16,60,100,10.56,overcast clouds
128,Port Macquarie,AU,-31.4333,152.9167,59.9,88,100,5.75,overcast clouds
129,Vogar,IS,63.9832,-22.3874,53.64,100,100,3.44,light intensity drizzle
130,La Ronge,CA,55.1001,-105.2842,68.22,52,75,14.97,broken clouds
131,Dongsheng,CN,39.8161,109.9776,62.49,51,100,8.19,overcast clouds
132,Lafia,NG,8.4833,8.5167,71.42,98,100,3.11,light rain
133,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.24,93,75,10.36,snow
134,Santiago De Cao,PE,-7.9589,-79.2392,60.93,82,66,9.22,fog
135,Sarahan,IN,31.5167,77.8,67.96,80,99,2.1,overcast clouds
136,Rahuri,IN,19.3833,74.65,74.48,82,100,5.17,overcast clouds
137,Monte Aprazivel,BR,-20.7725,-49.7142,72.25,40,5,6.78,clear sky
138,Naples,IT,40.8333,14.25,78.85,88,0,2.37,clear sky
139,Hithadhoo,MV,-0.6,73.0833,78.17,85,100,13.13,light rain
140,Viedma,AR,-40.8135,-62.9967,46.2,46,100,10.47,overcast clouds
141,Timizart,DZ,36.8,4.2667,74.86,50,0,3.69,clear sky
142,Nemuro,JP,43.3236,145.575,61.68,82,0,2.48,clear sky
143,Pochutla,MX,15.7432,-96.4661,80.82,90,100,2.55,overcast clouds
144,Saint-Augustin,CA,51.226,-58.6502,62.73,65,96,6.2,overcast clouds
145,Shihezi,CN,44.3,86.0333,86.77,17,0,2.19,clear sky
146,Dehloran,IR,32.6941,47.2679,95.63,13,0,8.59,clear sky
147,Luanda,AO,-8.8368,13.2343,67.26,82,95,6.76,overcast clouds
148,Panama City,PA,8.9936,-79.5197,80.17,90,40,3.44,scattered clouds
149,Severo-Kurilsk,RU,50.6789,156.125,53.19,95,100,22.15,moderate rain
150,Ambilobe,MG,-13.2,49.05,64.02,73,1,4.9,clear sky
151,Matagami,CA,49.7502,-77.6328,60.91,94,100,11.5,mist
152,Haines Junction,CA,60.7522,-137.5108,66.15,37,97,9.22,overcast clouds
153,Narsaq,GL,60.9167,-46.05,49.19,79,3,2.64,clear sky
154,Raja Sansi,IN,31.7192,74.7978,82.38,89,75,0.0,light rain
155,Rovaniemi,FI,66.5,25.7167,62.01,88,0,3.44,clear sky
156,Avarua,CK,-21.2078,-159.775,75.25,69,75,19.57,broken clouds
157,Lodja,CD,-3.4833,23.4333,71.46,76,67,0.6,broken clouds
158,Soyo,AO,-6.1349,12.3689,69.33,86,88,8.46,overcast clouds
159,Saldanha,ZA,-33.0117,17.9442,44.65,80,100,8.03,overcast clouds
160,Ixtapa,MX,20.7,-105.2,81.16,93,51,1.79,broken clouds
161,New Norfolk,AU,-42.7826,147.0587,53.1,76,2,1.99,clear sky
162,Yantal,RU,56.8471,105.2542,71.06,53,100,5.44,overcast clouds
163,Gobabis,NA,-22.45,18.9667,50.14,53,0,10.54,clear sky
164,Tadine,NC,-21.55,167.8833,77.67,78,100,14.79,overcast clouds
165,Olavarria,AR,-36.8927,-60.3225,43.99,45,17,3.33,few clouds
166,Buin,CL,-33.7333,-70.75,56.73,60,0,3.58,clear sky
167,Constitucion,CL,-35.3333,-72.4167,51.71,86,8,7.72,clear sky
168,Ukiah,US,39.1502,-123.2078,93.43,38,0,6.85,clear sky
169,Acapulco,MX,16.8634,-99.8901,82.08,82,36,3.6,scattered clouds
170,Torres,BR,-29.3353,-49.7269,71.83,89,100,3.22,overcast clouds
171,Rawson,AR,-43.3002,-65.1023,42.46,47,100,9.48,overcast clouds
172,Moerai,PF,-22.4333,-151.3333,71.8,57,4,18.5,clear sky
173,Ocampo,MX,21.65,-101.5,66.79,47,52,19.22,broken clouds
174,Clarence Town,AU,-32.5833,151.7833,66.15,73,54,9.73,light rain
175,Henties Bay,NA,-22.116,14.2845,62.17,56,0,3.83,clear sky
176,San Patricio,US,28.017,-97.5169,87.55,71,2,14.09,clear sky
177,Mezhgorye,UA,44.9667,34.4167,60.21,77,0,8.25,clear sky
178,Lamu,KE,-2.2717,40.902,73.99,81,51,17.96,light rain
179,Sao Filipe,CV,14.8961,-24.4956,74.03,89,80,5.53,broken clouds
180,Mindelo,CV,16.8901,-24.9804,76.55,73,75,6.91,broken clouds
181,Mahebourg,MU,-20.4081,57.7,70.09,78,40,12.66,scattered clouds
182,Tilichiki,RU,60.4667,166.1,64.24,44,1,2.77,clear sky
183,Anadyr,RU,64.75,177.4833,57.7,50,40,13.42,scattered clouds
184,Husavik,IS,66.0449,-17.3389,47.43,89,48,3.47,scattered clouds
185,Roald,NO,62.5833,6.1333,55.17,87,75,3.44,broken clouds
186,Harper,LR,4.375,-7.7169,75.2,76,99,7.18,overcast clouds
187,Touros,BR,-5.1989,-35.4608,73.24,90,100,8.5,overcast clouds
188,San-Pedro,CI,4.7485,-6.6363,74.52,77,99,4.41,overcast clouds
189,Strezhevoy,RU,60.7333,77.5889,53.53,95,100,6.78,light rain
190,College,US,64.8569,-147.8028,66.29,65,100,5.75,light rain
191,Padang,ID,-0.9492,100.3543,78.85,71,81,1.23,broken clouds
192,Barrow,US,71.2906,-156.7887,44.62,76,75,25.32,broken clouds
193,Half Moon Bay,US,37.4636,-122.4286,79.45,85,100,10.56,mist
194,Shitanjing,CN,39.2342,106.3439,69.04,29,0,7.16,clear sky
195,Sanandaj,IR,35.3144,46.9923,73.18,24,0,1.9,clear sky
196,Bethel,US,41.3712,-73.414,81.34,84,41,3.91,scattered clouds
197,Itarema,BR,-2.9248,-39.9167,77.41,78,77,12.84,broken clouds
198,Bowen,AU,-20.0167,148.2333,72.12,51,0,8.25,clear sky
199,Ribeira Grande,PT,38.5167,-28.7,72.54,88,38,2.82,scattered clouds
200,Kushiro,JP,42.975,144.3747,67.86,79,34,4.23,scattered clouds
201,Baykit,RU,61.67,96.37,68.38,60,0,7.18,clear sky
202,Wichita Falls,US,33.9137,-98.4934,86.25,55,0,3.44,clear sky
203,Finnsnes,NO,69.2296,17.9811,52.75,88,100,3.44,light rain
204,Nyimba,ZM,-14.5566,30.8149,66.25,59,76,6.42,broken clouds
205,Mouila,GA,-1.8685,11.0559,70.79,86,98,2.39,overcast clouds
206,Minbu,MM,20.1833,94.8833,86.23,68,100,7.31,overcast clouds
207,Kijang,KR,35.2442,129.2139,79.93,66,26,3.11,scattered clouds
208,Chuy,UY,-33.6971,-53.4616,50.81,90,98,5.91,overcast clouds
209,Shagamu,NG,6.8432,3.6478,74.23,89,100,4.05,overcast clouds
210,Fontenay-Le-Comte,FR,46.5833,-1.0,64.04,58,97,4.27,overcast clouds
211,Dingle,PH,10.9995,122.6711,86.11,74,41,8.3,scattered clouds
212,Fort Nelson,CA,58.8053,-122.7002,61.45,54,95,4.85,overcast clouds
213,Provideniya,RU,64.3833,-173.3,44.71,81,75,25.01,broken clouds
214,Odweyne,SO,9.4092,45.064,70.68,51,64,19.04,broken clouds
215,Norman Wells,CA,65.282,-126.8329,74.19,50,78,7.49,broken clouds
216,Iqaluit,CA,63.7506,-68.5145,41.7,93,72,6.06,broken clouds
217,Tiksi,RU,71.6872,128.8694,45.09,77,63,7.78,broken clouds
218,Caxito,AO,-8.5785,13.6643,63.82,96,54,1.88,broken clouds
219,Polunochnoye,RU,60.8697,60.4153,61.65,67,70,7.0,broken clouds
220,Nelson Bay,AU,-32.7167,152.15,65.08,77,64,18.99,light rain
221,Bafoulabe,ML,13.8065,-10.8321,76.87,90,99,2.24,light rain
222,Trossingen,DE,48.0767,8.6441,61.32,63,11,1.32,few clouds
223,Pozo Colorado,PY,-23.4923,-58.7972,75.74,39,99,6.4,overcast clouds
224,Ha Giang,VN,22.8333,104.9833,84.99,72,55,1.97,broken clouds
225,Posse,BR,-14.0931,-46.3694,65.62,48,7,8.28,clear sky
226,Hervey Bay,AU,-25.2986,152.8535,62.49,92,100,22.28,light rain
227,Umm Lajj,SA,25.0213,37.2685,84.6,64,45,7.96,scattered clouds
228,Gazojak,TM,41.1875,61.4036,92.71,15,0,10.38,clear sky
229,Faya,SA,18.3851,42.4509,65.34,48,21,6.31,few clouds
230,Zyryanovsk,KZ,49.7386,84.2719,59.04,95,100,2.19,overcast clouds
231,Sitka,US,57.0531,-135.33,57.09,77,100,3.44,overcast clouds
232,Dali,CN,25.7,100.1833,69.42,78,100,2.95,overcast clouds
233,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,44,0,9.22,clear sky
234,San Miguel,SV,13.4833,-88.1833,75.36,95,83,2.55,broken clouds
235,Barbastro,ES,42.0356,0.1269,77.54,52,0,5.5,clear sky
236,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.66,87,0,6.93,clear sky
237,Mehamn,NO,71.0357,27.8492,55.31,94,100,24.16,drizzle
238,Emerald,AU,-23.5333,148.1667,64.35,66,2,16.71,clear sky
239,Lorengau,PG,-2.0226,147.2712,84.94,70,56,10.71,broken clouds
240,Ganta,LR,7.3022,-8.5308,68.47,99,98,1.66,overcast clouds
241,Prainha,BR,-1.8,-53.48,76.17,78,39,2.42,scattered clouds
242,Aykhal,RU,66.0,111.5,58.93,75,100,6.98,overcast clouds
243,Izhma,RU,65.0083,53.9113,52.92,49,89,6.89,overcast clouds
244,Hualmay,PE,-11.0964,-77.6139,61.41,83,5,12.19,clear sky
245,Pevek,RU,69.7008,170.3133,31.53,99,100,12.03,light snow
246,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,69.94,96,25,10.07,scattered clouds
247,Oruro,BO,-17.9833,-67.15,44.64,16,75,7.34,broken clouds
248,Athabasca,CA,54.7169,-113.2854,68.43,54,96,8.25,overcast clouds
249,Guerrero Negro,MX,27.9769,-114.0611,69.73,77,0,20.07,clear sky
250,Ipora,BR,-16.4419,-51.1178,67.69,41,4,4.7,clear sky
251,Wolfen,DE,51.6667,12.2833,66.81,83,6,6.31,clear sky
252,Sitrah,BH,26.1547,50.6206,93.36,74,0,5.75,clear sky
253,Pirai Do Sul,BR,-24.5261,-49.9486,59.61,85,100,1.66,overcast clouds
254,Nong Khai,TH,17.9167,103.0833,79.29,93,99,9.62,overcast clouds
255,Freeport,US,40.6576,-73.5832,91.26,50,42,4.0,scattered clouds
256,Portland,US,45.5234,-122.6762,85.98,55,0,10.36,clear sky
257,Iquique,CL,-20.2208,-70.1431,58.33,83,98,2.08,overcast clouds
258,Maceio,BR,-9.6658,-35.7353,76.44,88,75,3.44,broken clouds
259,Kurilsk,RU,45.2333,147.8833,54.34,97,99,11.18,overcast clouds
260,Egvekinot,RU,66.3167,-179.1667,47.64,49,94,9.55,overcast clouds
261,Airai,TL,-8.9266,125.4092,68.72,40,42,4.41,scattered clouds
262,Puerto Padre,CU,21.195,-76.6028,79.03,87,45,7.67,scattered clouds
263,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,83,38,2.55,scattered clouds
264,Parrita,CR,9.5201,-84.3225,75.54,94,100,3.2,overcast clouds
265,Belen,TR,36.4891,36.2233,67.96,88,0,6.93,clear sky
266,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
267,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,2.3,broken clouds
268,Cidreira,BR,-30.1811,-50.2056,62.82,92,100,0.36,overcast clouds
269,Beringovskiy,RU,63.05,179.3167,50.74,65,63,6.82,broken clouds
270,Klaksvik,FO,62.2266,-6.589,45.52,86,99,6.08,overcast clouds
271,Leh,IN,34.1667,77.5833,67.12,16,42,2.86,scattered clouds
272,Kez,RU,57.8979,53.7152,56.95,92,41,2.84,scattered clouds
273,Uvira,CD,-3.4067,29.1458,71.22,70,51,1.61,broken clouds
274,Porto Novo,BJ,6.4965,2.6036,75.34,81,98,6.64,overcast clouds
275,Kushima,JP,31.4583,131.2333,86.58,57,1,9.6,clear sky
276,Xapuri,BR,-10.6517,-68.5044,73.49,52,0,0.87,clear sky
277,Luderitz,NA,-26.6481,15.1594,61.0,55,0,8.03,clear sky
278,Batemans Bay,AU,-35.7167,150.1833,57.09,66,34,7.61,scattered clouds
279,Porto Santo,PT,33.072,-16.3415,68.38,73,75,13.8,broken clouds
